is_division,cost_codes,,,,,,,,,,
DIV. 10 - Specialties,100000.M - Specialties,,,,,,,,,,
DIV. 10 - Specialties,101400.M - Signage,,,,,,,,,,
DIV. 10 - Specialties,101400.S - Signage,,,,,,,,,,
DIV. 10 - Specialties,101453.M - Traffic Signage,,,,,,,,,,
DIV. 10 - Specialties,101453.S - Traffic Signage,,,,,,,,,,
DIV. 10 - Specialties,102113.M - Toilet Partitions,,,,,,,,,,
DIV. 10 - Specialties,102113.S - Toilet Partitions,,,,,,,,,,
DIV. 10 - Specialties,102213.M - Wire Mesh Storage Cages,,,,,,,,,,
DIV. 10 - Specialties,102213.S - Wire Mesh Storage Cages,,,,,,,,,,
DIV. 10 - Specialties,102226.S - Operable Partitions,,,,,,,,,,
DIV. 10 - Specialties,102600.M - Wall and Door Protection,,,,,,,,,,
DIV. 10 - Specialties,102800.M - Toilet and Bath Accessories,,,,,,,,,,
DIV. 10 - Specialties,102819.S - Tub and Shower Doors,,,,,,,,,,
DIV. 10 - Specialties,103100.S - Manufactured Fireplaces,,,,,,,,,,
DIV. 10 - Specialties,103110.M - Outdoor Fire Pits,,,,,,,,,,
DIV. 10 - Specialties,103110.S - Outdoor Fire Pits,,,,,,,,,,
DIV. 10 - Specialties,104413.M - Fire Extinguishers and Cabinets,,,,,,,,,,
DIV. 10 - Specialties,105100.M - Lockers,,,,,,,,,,
DIV. 10 - Specialties,105100.S - Lockers,,,,,,,,,,
DIV. 10 - Specialties,105500.M - Postal Specialties,,,,,,,,,,
DIV. 10 - Specialties,105623.M - Closet Shelving,,,,,,,,,,
DIV. 10 - Specialties,105623.S - Closet Shelving,,,,,,,,,,
DIV. 10 - Specialties,107313.M - Awnings and Canopies,,,,,,,,,,
DIV. 10 - Specialties,107313.S - Awnings and Canopies,,,,,,,,,,
DIV. 10 - Specialties,107500.M - Flagpoles,,,,,,,,,,
DIV. 10 - Specialties,109000.S - Golf Simulator,,,,,,,,,,
DIV. 11 - Equipment,110000 - Equipment,,,,,,,,,,
DIV. 11 - Equipment,111313.M - Loading Dock Equipment,,,,,,,,,,
DIV. 11 - Equipment,112423.M - Window Washing System,,,,,,,,,,
DIV. 11 - Equipment,112423.S - Window Washing System,,,,,,,,,,
DIV. 11 - Equipment,113100.M - Appliances,,,,,,,,,,
DIV. 11 - Equipment,113110.M - Outdoor Gas Grill,,,,,,,,,,
DIV. 11 - Equipment,113110.S - Outdoor Gas Grill,,,,,,,,,,
DIV. 11 - Equipment,114000.M - Food Service Equipment,,,,,,,,,,
DIV. 11 - Equipment,114000.S - Food Service Equipment,,,,,,,,,,
DIV. 11 - Equipment,116700.M - Recreational Equipment,,,,,,,,,,
DIV. 11 - Equipment,116700.S - Recreational Equipment,,,,,,,,,,
DIV. 11 - Equipment,118216.M - Trash Compactors,,,,,,,,,,
DIV. 11 - Equipment,118216.S - Trash Compactors,,,,,,,,,,
DIV. 12 - Furnishings,122000.S - Window Treatments,,,,,,,,,,
DIV. 12 - Furnishings,123530.M - Residential Casework,,,,,,,,,,
